"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 11:45:43 BDT 2023","Wed Sep 27 11:45:50 BDT 2023","7731","","Domain Update for checking","","","","""before all"" hook for Domain Update for checking",""
"passed","Tue Sep 26 12:03:34 BDT 2023","Tue Sep 26 12:03:41 BDT 2023","6935","","Sites automation","","","","Sites, Media Library automation",""
"passed","Wed Sep 27 11:42:09 BDT 2023","Wed Sep 27 11:42:47 BDT 2023","37820","","Operation automation","","","","operation, Page automation",""
"passed","Tue Sep 26 11:41:04 BDT 2023","Tue Sep 26 11:41:13 BDT 2023","9156","","Blog Page UI Automation","","","","Blog, Page UI automation",""
"passed","Wed Sep 27 11:36:50 BDT 2023","Wed Sep 27 11:37:21 BDT 2023","31341","","registration with subscription","","","","registration",""
"broken","Wed Sep 27 11:39:08 BDT 2023","Wed Sep 27 11:40:08 BDT 2023","60023","","Sites automation","","","","Sites, Header Set automation",""
"broken","Wed Sep 27 11:36:19 BDT 2023","Wed Sep 27 11:36:35 BDT 2023","15232","","registration field fill up","","","","registration field input",""
"passed","Tue Sep 26 11:39:23 BDT 2023","Tue Sep 26 11:39:29 BDT 2023","5861","","Billing UI Automation","","","","""before all"" hook for Billing UI Automation",""
"passed","Tue Sep 26 11:44:34 BDT 2023","Tue Sep 26 11:44:36 BDT 2023","1973","","Operation UI Automation","","","","Theme Of Website Setting",""
"passed","Tue Sep 26 11:42:10 BDT 2023","Tue Sep 26 11:42:17 BDT 2023","7134","","Operation UI Automation","","","","Operation, Page automation",""
"passed","Wed Sep 27 11:41:22 BDT 2023","Wed Sep 27 11:42:04 BDT 2023","42040","","Sites automation","","","","Sites, Page automation",""
"passed","Tue Sep 26 15:14:39 BDT 2023","Tue Sep 26 15:15:05 BDT 2023","26191","","Domain Update for checking","","","","""before all"" hook for Domain Update for checking",""
"passed","Tue Sep 26 11:45:00 BDT 2023","Tue Sep 26 11:45:06 BDT 2023","6123","","My Login application","","","","should login with valid credentials",""
"passed","Tue Sep 26 11:41:21 BDT 2023","Tue Sep 26 11:41:24 BDT 2023","3326","","Blog Page UI Automation","","","","Post UI Testing of Blog",""
"passed","Tue Sep 26 11:40:43 BDT 2023","Tue Sep 26 11:41:04 BDT 2023","21282","","Blog Page UI Automation","","","","""before all"" hook for Blog Page UI Automation",""
"passed","Tue Sep 26 11:33:20 BDT 2023","Tue Sep 26 11:33:47 BDT 2023","27135","","signin Page load","","","","signin button click",""
"passed","Wed Sep 27 11:37:46 BDT 2023","Wed Sep 27 11:37:52 BDT 2023","5791","","Sites automation","","","","""before all"" hook for Sites automation",""
"passed","Tue Sep 26 11:41:50 BDT 2023","Tue Sep 26 11:41:52 BDT 2023","1256","","Operation UI Automation","","","","Chat Config Of Configuration",""
"passed","Tue Sep 26 11:34:35 BDT 2023","Tue Sep 26 11:35:04 BDT 2023","29267","","Operation automation","","","","operation, Page automation",""
